,idNews,Likes,Dislikes
0,0,24,8
1,1,1,43
2,2,0,8
3,3,0,2
4,4,0,1
5,5,4,38
6,6,0,17
7,7,127,5
8,8,48,3
9,9,13,0
10,10,12,49
11,11,2,14
12,12,2,80
13,13,40,237
14,14,3,36
15,15,227,10
16,16,119,9
17,17,28,37
18,18,0,0
19,19,3,0
20,20,1,22
21,21,0,60
22,22,20,1
23,23,0,10
24,24,11,4
25,25,23,75
26,26,5,1
27,27,12,13
28,28,1,0
29,29,1,0
30,30,2,0
31,31,0,0
32,32,31,0
33,33,15,27
34,34,0,0
35,35,1,0
36,36,0,0
37,37,0,1
38,38,1,0
39,39,2,0
40,40,0,1
41,41,3,1
42,42,0,0
43,43,3,0
44,44,0,3
45,45,0,3
46,46,12,1
47,47,0,4
48,48,0,0
49,49,0,5
50,50,0,1
51,51,11,3
52,52,0,4
53,53,65,24
54,54,2,10
55,55,0,0
56,56,43,14
57,57,9,28
58,58,11,6
59,59,0,4
60,60,0,0
61,61,5,0
62,62,2,0
63,63,13,310
64,64,12,0
65,65,5,2
66,66,0,22
67,67,3,11
68,68,6,1
69,69,2,0
70,70,1,2
71,71,0,0
72,72,6,0
73,73,10,1
74,74,2,0
75,75,0,0
76,76,1,0
77,77,1,3
78,78,1,0
79,79,11,0
80,80,0,0
81,81,0,0
82,82,5,0
83,83,2,0
84,84,3,0
85,85,3,0
86,86,2,0
87,87,2,0
88,88,3,0
89,89,1,0
90,90,0,0
91,91,29,0
92,92,3,0
93,93,2,0
94,94,1,0
95,95,0,0
96,96,2,10
97,97,2,1
98,98,0,0
99,99,8,1
100,100,1,5
101,101,1,9
102,102,9,122
103,103,5,34
104,104,20,3
105,105,6,0
106,106,0,0
107,107,0,0
108,108,1,12
109,109,7,30
110,110,0,0
111,111,5,20
112,112,0,0
113,113,16,3
114,114,2,0
115,115,3,0
116,116,16,5
117,117,2,2
118,118,2,0
119,119,0,0
120,120,3,0
121,121,0,1
122,122,16,5
123,123,2,0
124,124,38,9
125,125,4,3
126,126,8,0
127,127,10,2
128,128,9,1
129,129,1,0
130,130,7,0
131,131,6,1
132,132,79,24
133,133,17,12
134,134,0,2
135,135,131,16
136,136,0,0
137,137,24,0
138,138,0,0
139,139,6,0
140,140,200,32
141,141,6,0
142,142,20,0
143,143,4,0
144,144,23,1
145,145,3,19
146,146,3,0
147,147,3,0
148,148,2,0
149,149,0,0
150,150,4,8
151,151,6,1
152,152,4,2
153,153,0,3
154,154,8,0
155,155,0,1
156,156,0,1
157,157,4,33
158,158,6,49
159,159,1,8
160,160,1,18
161,161,0,3
162,162,1,11
163,163,0,2
164,164,65,3
165,165,104,5
166,166,6,1
167,167,4,0
168,168,1,5
169,169,0,0
170,170,0,0
171,171,0,0
172,172,0,0
173,173,0,0
174,174,0,0
175,175,0,0
176,176,1,0
177,177,0,0
178,178,0,0
179,179,0,0
180,180,0,0
181,181,0,0
182,182,0,0
183,183,0,0
184,184,0,0
185,185,0,0
186,186,0,0
187,187,0,0
188,188,0,0
189,189,0,0
190,190,0,0
191,191,0,0
192,192,0,4
193,193,0,0
194,194,0,0
195,195,0,0
196,196,0,0
197,197,0,0
198,198,4,0
199,199,0,3
200,200,0,0
201,201,0,2
202,202,0,0
203,203,2,2
204,204,6,1
205,205,0,0
206,206,0,0
207,207,0,0
208,208,0,0
209,209,0,0
210,210,5,0
211,211,5,2
212,212,0,0
213,213,0,0
214,214,0,0
215,215,2,1
216,216,0,0
217,217,0,0
218,218,0,0
219,219,0,1
220,220,0,1
221,221,0,2
222,222,0,0
223,223,1,0
224,224,8,2
225,225,0,0
226,226,0,3
227,227,2,2
228,228,0,0
229,229,0,0
230,230,0,0
231,231,1,1
232,232,0,0
233,233,0,4
234,234,0,1
235,235,0,0
236,236,0,1
237,237,0,1
238,238,4,3
239,239,0,0
240,240,1,1
241,241,0,0
242,242,1,1
243,243,0,0
244,244,3,2
245,245,3,0
246,246,3,0
247,247,0,1
248,248,0,0
249,249,4,4
250,250,0,0
251,251,0,0
252,252,0,0
253,253,0,0
254,254,0,0
255,255,0,0
256,256,0,0
257,257,0,0
258,258,0,0
259,259,1,0
260,260,0,0
261,261,0,0
262,262,0,0
263,263,0,0
264,264,0,0
265,265,0,0
266,266,0,0
267,267,0,0
268,268,0,0
269,269,0,0
270,270,0,0
271,271,0,0
272,272,0,0
273,273,0,0
274,274,0,0
275,275,0,0
276,276,0,0
277,277,0,4
278,278,1,0
279,279,1,0
280,280,0,0
281,281,0,0
282,282,0,0
283,283,0,0
284,284,0,0
285,285,1,0
286,286,0,0
287,287,0,0
288,288,1,0
289,289,0,0
290,290,0,0
291,291,1,0
292,292,0,0
293,293,0,0
294,294,0,0
295,295,0,0
296,296,0,0
297,297,0,0
298,298,0,2
299,299,0,0
300,300,2,1
301,301,1,0
302,302,0,0
303,303,0,0
304,304,0,0
305,305,0,0
306,306,0,0
307,307,0,0
308,308,0,0
309,309,0,0
310,310,0,0
311,311,0,0
312,312,0,0
313,313,0,1
314,314,0,0
315,315,0,0
316,316,0,0
317,317,0,0
318,318,0,1
319,319,2,4
320,320,1,0
321,321,0,0
322,322,0,0
323,323,1,0
324,324,0,0
325,325,0,1
326,326,1,0
327,327,5,0
328,328,0,11
329,329,0,0
330,330,0,0
331,331,0,0
332,332,0,0
333,333,0,0
334,334,3,6
335,335,0,0
336,336,1,0
337,337,0,0
338,338,1,0
339,339,4,0
340,340,0,0
341,341,0,0
342,342,0,0
343,343,0,0
344,344,0,0
345,345,0,0
346,346,0,0
347,347,0,0
348,348,0,0
349,349,0,0
350,350,0,0
351,351,0,0
352,352,0,0
353,353,0,0
354,354,0,0
355,355,0,0
356,356,1,3
357,357,0,0
358,358,0,0
359,359,0,0
360,360,0,0
361,361,0,0
362,362,1,0
363,363,0,1
364,364,0,0
365,365,0,0
366,366,0,0
367,367,12,0
368,368,0,0
369,369,2,0
370,370,0,0
371,371,1,0
372,372,1,0
373,373,0,0
374,374,0,0
375,375,0,0
376,376,4,0
377,377,3,0
378,378,0,0
379,379,1,0
380,380,0,0
381,381,0,0
382,382,0,0
383,383,0,0
384,384,3,0
385,385,1,0
386,386,0,0
387,387,0,0
388,388,3,1
389,389,3,0
390,390,2,0
391,391,1,0
392,392,0,0
393,393,0,0
394,394,0,0
