,idNews,nick,text
0,96,babo****,윤꼴통과 김걸레 때문에 얼마나 많이 스트레스 받으셨습니까? 부디 편히 잠드소서.
1,96,babo****,"강수연 누나,저 세상에서도 멋진 스타가 되실거에요.편안히 쉬십시요ㅜㅜ"
2,96,sana****,삼가 고인의 명복을 빕니다 월드스타를 지켜주지 못해 미안합니다
3,96,amie****,원조 한류스타이신대...
4,96,hp57****,슬퍼요. ㅠㅠ
5,96,madu****,이무슨 청천벽력같은 소식이요 연기만해온 배우였는데 우리곁을 너무빨리 떠나셨어요 ㅜㅜ
6,96,powe****,"여인천하 정난정 역할도 정말 인상깊었는데세월이 참 빠르네요,,
좋은곳으로 가세요"
7,96,jchj****,슬퍼요 클릭. //  삼가. 고인의 명복을 빕니다
8,96,qet0****,고허참 고강수연 문재앙 시절 갈사람은 안가고~~ 윤석열 대통 좋은날도 봐야는데~~ 문재앙은 천만년 살려고 양산에 집단장~~ 마누라 정숙이는 돼지 껍데기 명품 치장질이나ㅠㅠ
9,96,ziod****,전라도 놈들 없는 그곳에서 편히 쉬시길
10,96,g727****,"병원에 가실 일이지  그저안따갑네요정말  좋아 했었는데ᆢ
편안이 영면 하십시요"
11,96,piec****,연상호감독님 말대로 한때 한국영화 그 자체였던 강수연선배님 넷플릭스에서도 개척자로 불러주는걸보니 그삶이 헛된 것은 아니었다는 생각이듭니다 최고사극중하나였던 여인천하만큼 이번의 sf영화 정이도 큰 작품으로 인정받길 바라며 선배님의 명복을 빕니다
12,96,ajk4****,난정이 뭬야~~~~~ 하며 다 말아 쳐먹고 나가는 문재앙 정숙이 머리 꾸댕이 잡아야는데~~
13,96,daeb****,백신이 의심됩니다.  아~~ 내 앞날도 겁이나요..강수연님 부디 좋은세상가셔서  다시 멋진 배우로 돌아오셔요..
14,96,zksk****,뇌복제와 관련한 영화인데 뇌출혈로 쓰러지신게 우연인가.....ㅠㅠ
15,96,g727****,참 허망하다 고인의 명복을 빕니다
16,96,comm****,기저질환 없으면 100퍼 백신팔이 문재앙이랑 대깨 때문이지
17,96,sime****,견에인이 무슨 벼슬이냐? /우민들은  누군가를 숭배하고 떠받들지 않으면 미치는 병이라도 잇나?/ 왜 특별 취급되야 돼?
18,96,seh3****,갑작스럽게 가시네요. 명복을 빕니다....
19,96,hevo****,미인박명이로구나...세상에 너무예쁜배우였는데..인생참  허무하네요..어떻게 한순간에..
20,96,ajk4****,모든 이에게 사랑을 받던 분이 우리 곁을 갑자기 떠나네요.
21,96,daes****,너무 아쉽너요~ 수연 누님 좋은곳 가셔서 행복 하세요~
22,96,aloh****,별이 졌네요. 어릴적 하이틴스타..삼가 고인의 명복울 빕니다...
23,48,myre****,지역 감정 운운하기에는 신고한 사장도 같은 지역 사람인데
24,48,ddun****,저세상맛을보여줘야되는데ᆢ나쁜//
25,48,aaal****,제발 그아이가 너무 험난한 삶을 살진 않기를
26,48,nana****,지역의 문제 아닙니다 60대 요즘 늙은애들이 문제죠 요증 늙은애들 사회문제입니다 얘네들 어쩝니까 사회에  기생하며 점점 쓰레기가 되가고 있습니다
27,48,saki****,"에휴 열받는다. 다 늙은놈이 11살한테 성욕을 느끼는게인간이냐? 
아주 도끼로 머리를 찍어버려야 되는데."
28,48,fadu****,거세후 치료해주지말고사지를 다잘라버려야함 하루한개씩
29,48,jktk****,"추행의도가 있었는지를 조사한다고?경찰이 모텔 주인보다 못한 건가. 
모텔 주인 훌륭한 일 하신거에요"
30,48,dodo****,아이를 지켜주셔서 감사합니다 ^^
31,48,dori****,아따~ 전라도는 어메이징 한 곳 이랑께!! 전라도의 독립을 기원합니다! 적극지지합니다^^
32,48,nlpp****,라도 외국 기사 그만 보고싶어요
33,48,supe****,훌륭한 업주로고~기지로 짐승을 잡았네!
34,48,iaml****,지난번에 여고앞에서 섹파트너 해달라고 플랭카드 내건놈도 60대 베이비 부머였었지. 호떡 안잘라준다고 끓는 기름에 호떤 던진놈도 마찬가지.
35,48,feck****,거세 !!
36,48,jkw1****,호시탐탐 노렸을거다 처음 아닐거같은데 이미… 죽여버려야한다 돌로 머리쳐서 죽여버리자
37,48,coss****,추행의도 ? 대가리가 돌이냐? 써글경찰
38,48,gasu****,어~~~휴 전라도!ㅉㅉ
39,48,kmk1****,모텔사장님 최고~
40,48,dust****,전라도
41,48,kyk2****,거세해야된다
42,48,hjwm****,또 여자애 똥주머니 찰뻔한거잖아 ㅡㅡ
43,48,ho12****,대한민국은 60대 이상 노인네들을 모두 중동으로 보내서 일 시켜야된다니까?
44,48,vywo****,손녀뻘한테 무슨 드러운 생각을 가지는건지..더러운할배네
45,48,gasu****,전라도 특 : 합의없음    경상도 특 : 합의하에 스와핑 합의없으면 집단
46,48,onio****,그냥 동물 가축이네… 생각이라곤 없이 사는
47,48,jaku****,"진짜 이런 것들 보면 거시기 잘라버리고 싶다! 어디 나이쳐먹고 할짓이 없어 어린애를, 그것도 정신이나 멀쩡한 것도 아니구... 성범죄 관련된 이런 놈들은 미수라고 할지라도 약을 먹여서라도 거시기 불구로 만들자 제발!!!"
48,48,kero****,그런데.이와중에.부모는.돌봄이어렵다고...
49,48,xell****,사장님 최고네!!!!!!!!
