,idNews,nick,text
0,120,domj****,댓글들 이 정도면 문재인 사랑하는거 아님? 관련없는 기사에도 다 끌고오노..머리가 나쁜거 같아서 말해주는데 상관없는 기사에서까지 그런 댓글 다는거 본인들한테 도움 안됨...보통 사람들은 이런 기사에서도 대통령 욕을..? 이상한 놈들이네 한다고
1,120,tdj0****,가난한 거지 댓글부대 또 몰려왔네 화이자 모더나한테도 따져봐 ㅋ 별 논리도 없고 대통령탓만 하노 쯧쯧 백신 괜히 맞혀놓음 걍 죽게뒀어야하는데
2,120,wonn****,남편이 백신 접종 이후 3개월 마다 머리에 돌망치 맞는 듯한 고통 있다 하는데 걱정이네요.ㅠ
3,120,dam2****,"으이그~~~~ 어떻게든 문대통령 까내리려고백신이랑 엮냐ㅋㅋㅋㅋ
할배들 주무세요!!!
그니까 탈모옵니다"
4,120,sueu****,되도 않은 걸로 연관 짓고 있네 또 알바들 🤍❣🧡💛🤍❣🧡💛 악귀들아 고인한테 민폐끼치지말고 명복만 빌어라
5,120,hell****,"혈전, 페에 물참. 심장비대, 부정맥, 심박세동, 숨차고, 어지럽고...전형적인  백신 부작용...문재인 4형!!..정치방역사령관  정은경 4형...둘다 때려주겨야돼..문재인 살려두면 안돼..죽을때까지 대한민국이 분열되고  증오로  자살한다..반드시  4형 시켜야돼..내가족, 내자식.  국가의 발전을 위해사..살인악마 문재인  숨지말고 죄값을 받아라."
6,120,unis****,뇌출혈     최고 원인이   혈전이고  혈전은  백신부작용이  결정적  원인인데   일반 서민들  최근  뇌출혈 부작용이  백신  혈전 부작용 이고 문죄앙 죽일놈이지
7,120,nata****,"흡연, 알콜(술)이 그리 안좋은데 왜 판매 허가를 하는거냐!"
8,120,llee****,사망  원인 조작
9,120,shoo****,후유장해 진단서를 왜 안뽑아주냐고 ㅆ피
10,120,nyck****,🤍❣🧡💛이 망치로 댁알이 깨져서 DG야 하는데…
11,120,sabr****,문가 🤍❣🧡💛머리 혈관이 뻥뻥  터져주면 한국인들 수명이 평균 10년 증가
12,120,skrn****,지금 코로나백신 부작용으로 문🤍❣🧡💛이와 문🤍❣🧡💛이정부 고소중입니다  조금이라도부작용계신분은  적극  참여합시다  국민 죽이고 양산 가축우리들어가는꼴은 못봅니다
13,120,haji****,백신부작용
14,120,dowk****,고인의 명복을 빕니다. 여기서도 윤석열 추종자들이 설치네… 인간같지도 않은것들 인증
